sim_to_OFF,sim_to_NOT,escaped
0.9967145,0.6508083,False
0.9924755,0.7094371,False
0.995463,0.4245559,False
0.9564426,0.54442394,False
0.97860086,0.5351732,False
0.9908557,0.6949322,False
0.9957867,0.65943193,False
0.9227421,0.5874175,False
0.9861194,0.6553292,False
0.9496715,0.6881067,False
0.9606494,0.5590584,False
0.99835205,0.67677045,False
0.9999224,0.593841,False
0.90752965,0.76864123,False
0.9249188,0.6023886,False
0.9982861,0.60335505,False
0.9794697,0.47799158,False
0.9786644,0.6521094,False
0.99314535,0.480779,False
0.98249304,0.5414239,False
0.99168867,0.66995627,False
0.95216995,0.50387657,False
0.994329,0.78984,False
0.9464518,0.5680851,False
0.85417473,0.518854,False
0.9994081,0.5031073,False
0.96327233,0.64657545,False
0.8645851,0.51881933,False
0.9988477,0.69910777,False
0.973317,0.43649977,False
0.99813956,0.5640824,False
0.889298,0.6406414,False
0.97525764,0.6617613,False
0.99903,0.7031769,False
0.965706,0.6706299,False
0.99120104,0.6785974,False
0.89978623,0.8084909,False
0.93882525,0.47992098,False
0.99682045,0.6153504,False
0.898554,0.6293459,False
0.9187722,0.77299285,False
0.9999613,0.4765597,False
0.8958024,0.514951,False
0.9530959,0.59611994,False
0.91622025,0.467643,False
0.9954723,0.6291734,False
0.9896089,0.4195428,False
0.9850036,0.51993537,False
0.8776462,0.5513585,False
0.962325,0.39299533,False
0.9877335,0.7267213,False
0.96763057,0.5557365,False
0.9834106,0.6920502,False
0.9858984,0.6730367,False
0.971473,0.62044334,False
0.9535697,0.80615395,False
0.99508554,0.65586007,False
0.9967538,0.47511703,False
0.94374156,0.6524421,False
0.97316813,0.6252882,False
0.96222824,0.480966,False
0.90454423,0.64414483,False
0.96584725,0.5537582,False
0.99271995,0.67742157,False
0.9529204,0.59044516,False
0.88399756,0.5350131,False
0.9494603,0.76501834,False
0.95886284,0.58717656,False
0.9540889,0.52859956,False
0.9981518,0.57973117,False
0.9028084,0.6542887,False
0.99207705,0.61462975,False
0.98659897,0.6316743,False
0.9727098,0.69942945,False
0.97967225,0.55740184,False
0.872888,0.70775616,False
0.9982346,0.7092145,False
0.91623163,0.74713147,False
0.936138,0.48077846,False
0.95591956,0.515465,False
0.9892442,0.75606847,False
0.9472849,0.58407986,False
0.89948463,0.67095125,False
0.9827244,0.7656994,False
0.96255654,0.7151568,False
0.97930163,0.56417966,False
0.90580904,0.48195547,False
0.94265187,0.6076015,False
0.98404735,0.5661615,False
0.98785263,0.516202,False
0.9959283,0.8563961,False
0.99743074,0.760824,False
0.9998431,0.7635451,False
0.9532849,0.5352343,False
0.9811987,0.6283704,False
0.99998844,0.7759898,False
0.908941,0.5956223,False
0.96398485,0.5833868,False
0.9994114,0.57885695,False
0.9489428,0.638992,False
0.99851966,0.6643821,False
0.9974954,0.6471686,False
0.99572384,0.601918,False
0.99677175,0.7576869,False
0.97053874,0.7496942,False
0.9376084,0.5324912,False
0.8898131,0.66169524,False
0.9767296,0.52883846,False
0.89449406,0.6983908,False
0.9161477,0.71081984,False
0.9572804,0.43980274,False
0.9567318,0.5094401,False
0.89427114,0.54125196,False
0.99744266,0.55420315,False
0.9813102,0.75310063,False
0.9721902,0.63758034,False
0.9165503,0.59995955,False
0.99599135,0.6348058,False
0.97854674,0.6549107,False
0.99925214,0.35783705,False
0.9855318,0.60686195,False
0.9990519,0.71254635,False
0.89479303,0.6111382,False
0.9783499,0.6214217,False
0.9765899,0.6812521,False
0.99421847,0.64544284,False
0.9344213,0.47550666,False
0.9492731,0.6581719,False
0.98459226,0.42523614,False
0.99033034,0.8283584,False
0.99091506,0.6240686,False
0.9671269,0.4719675,False
0.99712646,0.56596446,False
0.8329639,0.5574379,False
0.9972217,0.7368411,False
0.9624111,0.8120271,False
0.90112466,0.7139597,False
0.9999724,0.64370227,False
0.99797046,0.7997006,False
0.8758588,0.5109013,False
0.9899358,0.64387715,False
0.98392844,0.44719255,False
0.9998826,0.49183023,False
0.9942594,0.5630026,False
0.9976773,0.52088374,False
0.8959551,0.6168301,False
0.99639267,0.57998943,False
0.93731195,0.74741256,False
0.9415246,0.68014693,False
0.9066431,0.6076317,False
0.95091444,0.7184086,False
0.94978285,0.5322598,False
0.88375103,0.46707097,False
0.9969536,0.82833135,False
0.97155297,0.5100248,False
0.98912865,0.6518123,False
0.99651533,0.74865294,False
0.99386334,0.80757797,False
0.99318767,0.71538687,False
0.9999741,0.49086043,False
0.9819287,0.5549318,False
0.99986833,0.51170075,False
0.97671163,0.71563077,False
0.9862597,0.3523075,False
0.99477154,0.68957233,False
