sim_to_OFF,sim_to_NOT,escaped
0.8518369,0.61126643,False
0.98965496,0.6425926,False
0.71157277,0.40550613,False
0.99909174,0.44751483,False
0.9096551,0.6524244,False
0.93709755,0.41046476,False
0.96270216,0.5966728,False
0.99921036,0.37967372,False
0.99701774,0.45690733,False
0.9719732,0.5183046,False
0.96062076,0.40256926,False
0.87768835,0.52049255,False
0.76468694,0.46136445,False
0.8069289,0.51892304,False
0.9899461,0.79211736,False
0.98745334,0.6650255,False
0.80893624,0.556254,False
0.99901736,0.6145818,False
0.96679115,0.63060606,False
0.8605582,0.5174115,False
0.9892275,0.4046718,False
0.77462816,0.54715985,False
0.7991146,0.50130093,False
0.99379295,0.6415076,False
0.99855185,0.5780605,False
0.76933634,0.4732128,False
0.9990334,0.6031823,False
0.98843545,0.50578445,False
0.9094827,0.7109313,False
0.83791584,0.4706157,False
0.81120193,0.5899117,False
0.7843157,0.58761466,False
0.9570616,0.56297827,False
0.99247193,0.67866766,False
0.99906623,0.5469471,False
0.8582964,0.54642403,False
0.7965872,0.49888185,False
0.91108096,0.52462167,False
0.7737634,0.5082775,False
0.8789421,0.66792864,False
0.91220653,0.5436189,False
0.8544394,0.584953,False
0.9814441,0.47120404,False
0.9991504,0.50785035,False
0.99583733,0.6513144,False
0.940898,0.5599272,False
0.77102053,0.4584903,False
0.86295325,0.6579049,False
0.9927372,0.42762926,False
0.78997266,0.52607036,False
0.7670057,0.61929965,False
0.9080875,0.69200873,False
